Date,Actual_Regime,Risk_Probability
2025-08-18,0,0.06938744
2025-08-19,0,0.06182177
2025-08-20,0,0.071206875
2025-08-21,0,0.24452825
2025-08-22,0,0.24061072
2025-08-25,0,0.2766712
2025-08-26,0,0.22113319
2025-08-27,0,0.24213058
2025-08-28,0,0.22914435
2025-08-29,0,0.20741557
2025-09-01,0,0.25490627
2025-09-02,0,0.5074321
2025-09-03,0,0.5006981
2025-09-04,0,0.5654749
2025-09-05,0,0.5800631
2025-09-08,0,0.5212012
2025-09-09,0,0.5423606
2025-09-10,0,0.61631393
2025-09-11,0,0.5946093
2025-09-12,0,0.6396294
2025-09-15,0,0.76674116
2025-09-16,0,0.7248075
2025-09-17,0,0.6835957
2025-09-18,0,0.72167027
2025-09-19,0,0.6210729
2025-09-22,0,0.6908401
2025-09-23,0,0.7083617
2025-09-24,0,0.66797787
2025-09-25,0,0.66046613
2025-09-26,0,0.6063918
2025-09-29,0,0.634364
2025-09-30,0,0.5545448
2025-10-01,1,0.55211157
2025-10-02,0,0.5781517
2025-10-03,0,0.5733267
2025-10-06,0,0.62879807
2025-10-07,0,0.6292155
2025-10-08,0,0.6043168
2025-10-09,0,0.63527477
2025-10-10,0,0.65757304
2025-10-13,0,0.6478464
2025-10-14,0,0.16551256
2025-10-15,0,0.1478209
2025-10-16,0,0.15269522
2025-10-17,0,0.21905619
2025-10-20,0,0.4433447
2025-10-21,0,0.3601383
2025-10-22,0,0.30223188
2025-10-23,0,0.45318022
2025-10-24,0,0.54179287
2025-10-27,0,0.5516727
2025-10-28,0,0.61764634
2025-10-30,0,0.62950057
2025-10-31,0,0.81216437
2025-11-03,0,0.5772039
2025-11-04,0,0.42552134
2025-11-05,0,0.4085257
2025-11-06,0,0.34017307
2025-11-07,0,0.35593262
2025-11-10,0,0.438357
2025-11-11,0,0.42944932
2025-11-12,0,0.5085527
2025-11-13,0,0.2860679
2025-11-14,0,0.25289026
2025-11-17,0,0.2367093
2025-11-18,0,0.19872124
2025-11-19,0,0.4083544
2025-11-20,0,0.49529913
2025-11-21,0,0.5434822
2025-11-24,0,0.40459028
2025-11-25,0,0.33032054
2025-11-26,0,0.17105629
2025-11-27,0,0.22170095
2025-11-28,0,0.12722877
2025-12-01,1,0.106651716
2025-12-02,1,0.13196899
2025-12-03,1,0.12592542
2025-12-04,1,0.11465742
2025-12-05,1,0.09397511
2025-12-08,1,0.09330207
2025-12-09,1,0.077532694
2025-12-10,1,0.08178739
2025-12-11,1,0.08110558
2025-12-12,1,0.07575752
2025-12-15,1,0.07204121
2025-12-16,1,0.121862784
2025-12-17,1,0.12535222
2025-12-18,1,0.13575289
2025-12-19,1,0.0926256
2025-12-22,1,0.102113545
2025-12-23,1,0.11156635
2025-12-24,1,0.07230583
2025-12-25,1,0.07775054
2025-12-26,1,0.069811165
2025-12-29,1,0.0911516
2025-12-30,0,0.06844323
2025-12-31,0,0.09119034
2026-01-02,0,0.11186462
2026-01-05,0,0.0782938
2026-01-06,0,0.050893474
2026-01-07,0,0.05816834
2026-01-08,0,0.059126217
2026-01-09,0,0.05635834
2026-01-12,0,0.05406211
2026-01-13,0,0.06404482
2026-01-14,0,0.07453577
2026-01-15,0,0.066286266
2026-01-16,0,0.082339294
2026-01-19,0,0.21621424
2026-01-20,0,0.23518176
2026-01-21,0,0.29792327
2026-01-22,0,0.27473232
2026-01-23,0,0.12678488
2026-01-26,0,0.28930694
2026-01-27,0,0.12833773
2026-01-28,0,0.32623914
