Date,AEFES.IS,AGHOL.IS,AKBNK.IS,AKSEN.IS,ALARK.IS,ARCLK.IS,ASELS.IS,ASTOR.IS,BIMAS.IS,BRISA.IS,CCOLA.IS,CWENE.IS,DOAS.IS,DOHOL.IS,ECILC.IS,EKGYO.IS,ENJSA.IS,ENKAI.IS,EREGL.IS,EUPWR.IS,FROTO.IS,GARAN.IS,GESAN.IS,HALKB.IS,HEKTS.IS,ISCTR.IS,KCHOL.IS,KONTR.IS,KRDMD.IS,MGROS.IS,MIATK.IS,OTKAR.IS,PETKM.IS,PGSUS.IS,REEDR.IS,SAHOL.IS,SASA.IS,SDTTR.IS,SISE.IS,SOKM.IS,TAVHL.IS,TCELL.IS,THYAO.IS,TKFEN.IS,TOASO.IS,TSKB.IS,TTKOM.IS,TUPRS.IS,ULKER.IS,VAKBN.IS,VESBE.IS,YKBNK.IS
2018-01-02,0.006589814718824069,0.009239779804539022,0.02407341968200575,0.014423310136312918,-0.0236944114079652,0.009250785571502813,0.03522141974458029,0.0,0.020907132332313814,0.005486960715489249,0.009886802127410523,0.0,0.009661751631871343,0.0114286447856738,0.04218163177182878,0.014134517831221254,0.0,-0.01672278227927147,0.024643953389410285,0.0,0.04383834891002168,0.01848479099219321,0.0,0.022019340360800537,-0.011493888434931643,0.01847928276132497,0.040302378050901325,0.0,0.006211122245846241,0.010826555532434404,0.0,0.00964629372269472,0.02917133623993677,0.03944824059769899,0.0,0.011622893023674528,0.05749395310454708,0.0,0.0021254109870830363,0.0,0.025495967475663985,0.006439225963291873,0.024552664154339484,-0.0023559435334218667,0.02865843642491421,0.013793520729092552,-0.006230630470270989,0.012270196566748508,0.040354009658157865,0.029114124002399464,0.05390191666501289,0.02052522926108436
2018-01-03,0.024332003258998678,-0.010083939918643382,-0.014977801285291905,0.011862511525030596,-0.022825626798876873,-0.0018433236160792796,-0.028951711644830153,0.0,-0.032497434797162016,0.002732272281842076,0.029648680845232735,0.0,-0.001202516831895726,0.0,-0.019759052247778294,-0.035718211793083814,0.0,0.0,-0.008802038087156228,0.0,-0.037221248623379444,-0.01848479099219327,0.0,-0.009115836773875431,0.005759974164155018,-0.014184475330946142,-0.02953784808986014,0.0,0.0394588680828197,-0.022505442256323706,0.0,-0.02429272905772971,-0.005012442222104902,0.023609808412871764,0.0,-0.004454406937643888,0.020336530152692513,0.0,0.006349262407402883,0.0,-0.025495967475664075,-0.031293258372498925,0.007435130940837715,-0.04584614991655644,-0.0178151357698188,0.0,-0.014162263794473114,-0.005707375179183485,0.029824459361304425,-0.02616432822282883,-0.030153068608318328,-0.002259697876166617
2018-01-04,0.0016013322591763917,0.019239339085340527,-0.010111477876172984,0.05058553711793127,-0.0014440292201271698,-0.004623126146799087,0.006851455102839326,0.0,-0.015666039433485407,0.04664398811574268,0.0189207830952109,0.0,0.008388275984265491,0.0,0.011025488977608253,-0.014652172623642115,0.0,-0.005071901950468969,-0.017839970030994766,0.0,-0.013278209780278058,-0.018832863859159568,0.0,0.0027434407241870907,0.032512893761668264,-0.01005010311098747,-0.017278987654159673,0.0,0.00888892160347456,-0.008849687294145087,0.0,0.0008194697256783678,0.032141094910600784,-0.019069516604186282,0.0,-0.0026822230578427476,-0.009709222046753611,0.0,0.004210616451293494,0.0,-0.008944657793644822,-0.020067639975108603,0.0055400984728617795,-0.0006174951971938896,-0.019970193452015606,-0.006873398268707474,0.0063191243415911275,-0.004096686361001045,0.04358584752819158,-0.0014737742718572073,0.0010201141568812772,-0.0022652175888551894
2018-01-05,0.011928719089274942,0.06572875792579967,0.02111707268528127,-0.011274228791930845,0.01434771524075109,0.01014283224148665,0.0030988413952282357,0.0,0.008516340140836324,-0.0013028682048585492,-0.003866403400216631,0.0,0.03862404582687944,0.011299589793876668,0.00219057040784566,0.0,0.0,0.005071901950469095,0.01093985290746876,0.0,0.004168373105024225,0.013220075127050616,0.0,-0.035319767141068416,0.03283318030642239,-0.0014437962685336788,0.011372983865885648,0.0,0.0,0.004434745739642878,0.0,0.004086615152548427,0.019277732015087017,0.021843404572023266,0.0,0.017746687403745243,0.014528772262109187,0.0,0.0062825949319306965,0.0,-0.0026989783634328913,0.022052404848936932,0.0024523951173721615,0.029216893826799695,0.005486055001271994,0.00687339826870747,0.006279350652458286,0.00817665833318955,0.025090798413854226,0.002945523131769529,0.004069295541275365,0.009029348690610325
2018-01-08,0.003944610312306447,0.011569853883039443,-0.01100559480910823,0.024637498014270384,0.0070969462694092066,-0.015719173974719967,0.0049382952399802645,0.0,-0.008516340140836225,-0.005228827737089173,0.004417591747067139,0.0,0.015945546597037983,0.0,0.01735385630531674,0.014652172623642,0.0,0.005046454654925766,-0.015952400175267955,0.0,-0.008354263226459468,-0.007532863818404905,0.0,-0.01429262537304637,-0.014913939441969577,-0.00144625829483491,-0.00702530013812196,0.0,-0.005917102844474572,0.013186776326510757,0.0,-0.00326811338292348,0.0035735895701200088,0.003870638887732885,0.0,-0.008833858944282449,0.021401041132217323,0.0,0.01656355666812412,0.0,-0.008141132247841031,0.0032993599507263466,-0.0024523951173720847,-0.004207911227305198,-0.006097675924000153,0.0,0.012441909817083954,-0.0024460279175889496,-0.013363207055944468,-0.011834509715840954,0.0030407711481822645,-0.004504433225588515
2018-01-09,0.0015736792908779653,-0.020922933984873618,-0.013164806946183539,-0.022372367396076013,0.0014136568490071381,-0.008423096494888347,-0.014888591738047918,0.0,0.0026277910824610423,-0.003939484212587131,0.006042443951707634,0.0,-0.0022624544259980863,-0.01129958979387669,-0.006472410265183709,-0.010968868931887034,0.0,-0.005046454654925878,-0.0040283081385800446,0.0,-0.019484093994220936,-0.00949685470798822,0.0,-0.021339324419084076,-0.008228545858735491,-0.011645483951310162,-0.0038033397675380698,0.0,-0.03625790462342449,-0.025056498304837915,0.0,-0.019835291150448756,-0.011961932213279113,-0.021194207076625025,0.0,-0.008912828459462719,-0.005507009129664271,0.0,0.0020515320338926122,0.0,0.004531125494713965,-0.024001459433688224,-0.011732145077326438,-0.001808924386572314,-0.013546980770799624,-0.006873398268707474,-0.023456785720256383,-0.020619173470247203,0.000896603454456248,-0.016504500561697808,-0.005073392807585068,-0.01135091219282774
2018-01-10,0.0023556263710513992,-0.02137027990504296,-0.01851915712807784,0.03555929949096059,-0.0056659244117933045,-0.029568069631010465,-0.008788576980602553,0.0,-0.0026277910824610627,0.03490973442140099,-0.0076966992779546484,0.0,-0.02523087446384528,-0.02298941496187429,-0.01307201644797877,0.010968868931887052,0.0,0.003367180276262605,-0.02141838558575457,0.0,-0.011182702729250166,-0.00958772829275432,0.0,0.0019588652624383963,-0.002760128067969613,-0.005873742427231839,-0.002179830109186078,0.0,-0.01863402671620152,-0.0411328963141922,0.0,-0.010067214102193663,-0.055672947901600864,-0.023960147778215844,0.0,-0.021720241405756444,-0.033677548016738904,0.0,0.008163117125306504,0.0,-0.02842937942728186,-0.016326830260734202,-0.05423985024899051,-0.006053334912375612,0.011710463206473317,-0.013889212843092295,-0.015949412941322256,-0.007528506159477959,0.0008954881096767158,0.01799149625957822,-0.0030567880387540216,-0.006872605790588335
2018-01-11,0.015564433319703029,0.0338216479198201,0.006211288281335752,-0.00657178593472957,0.02663092211741987,-0.00290839576661085,0.012531496281964146,0.0,-0.004616145115044677,0.01137098689384313,-0.018379632359875005,0.0,-0.0034903558697509827,0.022989414961874365,0.02169271701057514,0.00724652371996709,0.0,-0.01183447431534925,0.01025651156427258,0.0,-0.009561178556935107,0.012446380556331616,0.0,0.007797313538274921,0.019156633819114356,0.030459384052898112,0.01677079134822792,0.0,0.03994389879364265,0.006974027320181968,0.0,0.007559997302887208,-0.0038242369729105884,0.03014169638147355,0.0,0.016334234210556582,0.033677548016738876,0.0,0.00203040966256632,0.0,0.011100840769439225,-0.0055019939320039134,0.026530232966178003,-0.013447537492142015,-0.017305660455399087,0.01388921284309236,-0.00969315928634019,0.01995091418756055,0.011571115491811302,0.0,0.010152265885400587,0.02272795120900447
2018-01-12,0.003853660005986167,0.06439349385819751,0.011287941170448762,0.010928992977745581,0.009635373273957117,-0.007797331674344648,-0.007500025087599439,0.0,-0.0033099804004003332,-0.0037760811598330367,-0.011306175001049525,0.0,-0.009367595519120172,-0.01142864478567365,-0.01731636430680986,-0.010889349266215227,0.0,-0.015424513985155137,0.020202729427861256,0.0,-0.0034992620600889056,0.007582964082030447,0.0,-0.01664263355500214,-0.010905540516462146,0.007117234443711147,-0.009162017379305328,0.0,-0.018237534282004163,0.005390885791465728,0.0,0.0025072167993064097,0.015209547799299812,-0.026108314403950277,0.0,-0.011770102518064944,-0.013496977927900907,0.0,-0.012245058821765558,0.0,0.010068764625069905,-0.0117935439695446,-0.010269668728855144,0.003072144417767585,-0.0043737089591916875,0.0,0.0016221296178960333,-0.016597887796540544,0.0052957203518392395,0.01767351485746933,-0.005062856187243985,-0.02502966248667284
2018-01-15,0.0015372013059868368,-0.04752172136335036,-0.022704756059734127,-0.03540181200018039,-0.008253137632936995,-0.0147859187304332,-0.02734654162820416,0.0,0.006609173183373597,-0.020382791652716968,-0.00913763486816617,0.0,-0.0178047708411623,-0.035091248862916695,-0.03329947273565182,-0.037179136431574326,0.0,-0.028023068950444697,-0.02020272942786116,0.0,-0.006153926025026281,-0.016183070244439126,0.0,-0.023977081154866475,-0.027774842906608352,-0.025862805382813485,-0.01198260574397204,0.0,-0.056797706914124835,-0.019387919268546727,0.0,-0.02965063605452708,-0.047658879292254416,-0.05678639917195275,0.0,-0.0027360990848470327,-0.07552006251707322,0.0,-0.035531441445834235,0.0,-0.03994950366561005,-0.011934008687780618,-0.057765779360335515,-0.031155173248140294,0.0,-0.0069201224603849315,-0.016340250453731442,-0.020288118665719845,-0.007954031405474694,-0.02214115190498422,-0.01637731300062336,-0.011587668720532823
