Date,AEFES.IS,AGHOL.IS,AKBNK.IS,AKSEN.IS,ARCLK.IS,ASELS.IS,ASTOR.IS,BIMAS.IS,BRISA.IS,CCOLA.IS,CWENE.IS,DOHOL.IS,ECILC.IS,EKGYO.IS,ENJSA.IS,EREGL.IS,EUPWR.IS,FROTO.IS,GARAN.IS,GESAN.IS,HALKB.IS,HEKTS.IS,ISCTR.IS,KCHOL.IS,KONTR.IS,KOZAA.IS,KOZAL.IS,KRDMD.IS,MGROS.IS,MIATK.IS,PETKM.IS,PGSUS.IS,REEDR.IS,SAHOL.IS,SASA.IS,SDTTR.IS,SISE.IS,SOKM.IS,TAVHL.IS,TCELL.IS,THYAO.IS,TKFEN.IS,TOASO.IS,TSKB.IS,TTKOM.IS,TUPRS.IS,ULKER.IS,VAKBN.IS,VESBE.IS,YKBNK.IS
2020-01-02,1.7409794330596924,1.6665257215499878,6.364633083343506,1.7951738834381104,18.671035766601562,5.248263835906982,13.237704277038574,18.783857345581055,7.620011329650879,36.801841735839844,12.4969482421875,1.6579591035842896,3.1481986045837402,1.2893558740615845,4.803607940673828,3.3044016361236572,14.886666297912598,4.7215495109558105,8.890687942504883,4.675000190734863,6.130000114440918,0.4383910000324249,0.9401841759681702,16.42573356628418,0.41646602749824524,,,2.538975238800049,23.17995834350586,1.3369230031967163,3.25,17.575088500976562,57.0,7.640129089355469,0.15689699351787567,34.64297866821289,4.675622463226318,10.095697402954102,27.095298767089844,11.245290756225586,14.487192153930664,16.006393432617188,15.254537582397461,1.1420246362686157,5.947456359863281,11.78507137298584,19.233699798583984,5.559999942779541,2.161781072616577,2.1052675247192383
2020-01-03,1.730427861213684,1.6144765615463257,6.193457126617432,1.7489063739776611,18.777219772338867,5.296904563903809,13.237704277038574,19.213520050048828,7.436683177947998,35.867000579833984,12.4969482421875,1.6058765649795532,3.089275360107422,1.2547422647476196,4.644758701324463,3.2535645961761475,14.886666297912598,4.610413074493408,8.645917892456055,4.675000190734863,6.019999980926514,0.4324589967727661,0.9099027514457703,16.409568786621094,0.41646602749824524,,,2.5019102096557617,22.242259979248047,1.3369230031967163,3.166666030883789,16.971521377563477,57.0,7.4545392990112305,0.15431199967861176,34.64297866821289,4.622988224029541,9.59934139251709,26.68840789794922,11.101120948791504,13.94013786315918,15.353734016418457,15.060866355895996,1.0858594179153442,5.84311580657959,11.573307991027832,18.883085250854492,5.369999885559082,2.2138025760650635,2.046788215637207
2020-01-06,1.6927446126937866,1.5652661323547363,5.998939037322998,1.6795053482055664,18.936500549316406,5.369863986968994,13.237704277038574,19.3270206451416,6.950469970703125,35.39004898071289,12.4969482421875,1.5798354148864746,3.0219337940216064,1.2201286554336548,4.530386924743652,3.220883369445801,14.886666297912598,4.657561779022217,8.369563102722168,4.675000190734863,6.03000020980835,0.4216749966144562,0.8868305683135986,16.231731414794922,0.41646602749824524,,,2.4092464447021484,21.54836082458496,1.3369230031967163,3.058332920074463,16.3270320892334,57.0,7.276681900024414,0.14973799884319305,34.64297866821289,4.4914045333862305,9.252828598022461,26.004087448120117,10.964961051940918,13.256318092346191,14.847929954528809,14.901369094848633,1.057776927947998,5.674563884735107,11.389166831970215,18.448989868164062,5.159999847412109,2.231142520904541,2.005016803741455
2020-01-07,1.7681115865707397,1.6040667295455933,6.061184883117676,1.7118924856185913,18.653339385986328,5.452552795410156,13.237704277038574,19.47294807434082,7.101913928985596,36.36304473876953,12.4969482421875,1.6319178342819214,3.0640223026275635,1.228782057762146,4.619342803955078,3.242670774459839,14.886666297912598,4.805742263793945,8.361668586730957,4.675000190734863,6.03000020980835,0.43946900963783264,0.8897145390510559,16.118562698364258,0.41646602749824524,,,2.418513059616089,22.129735946655273,1.3369230031967163,3.0916659832000732,16.265653610229492,57.0,7.307613849639893,0.15311799943447113,34.64297866821289,4.4914045333862305,9.41203784942627,26.854862213134766,11.133156776428223,13.227011680603027,15.206889152526855,15.140613555908203,1.0764986276626587,5.722722053527832,11.315508842468262,19.01665496826172,5.25,2.331331968307495,2.005016803741455
2020-01-08,1.734950065612793,1.645706057548523,6.193457126617432,1.674878716468811,18.44096565246582,5.4185051918029785,13.237704277038574,19.63508415222168,6.9185872077941895,36.095943450927734,12.4969482421875,1.5885158777236938,3.0219337940216064,1.202821969985962,4.644758701324463,3.239039421081543,14.886666297912598,4.802373886108398,8.748562812805176,4.675000190734863,6.099999904632568,0.43191999197006226,0.8940403461456299,16.086223602294922,0.41646602749824524,,,2.42777943611145,22.392290115356445,1.3369230031967163,3.075000047683716,15.754154205322266,57.0,7.44680643081665,0.15013599395751953,34.64297866821289,4.465087890625,9.468228340148926,26.484960556030273,11.093111991882324,13.187936782836914,15.157939910888672,15.277323722839355,1.0671377182006836,5.778904914855957,11.085332870483398,19.45074462890625,5.360000133514404,2.3236255645751953,2.0217254161834717
2020-01-09,1.8012731075286865,1.7214140892028809,6.621397495269775,1.7442796230316162,18.989595413208008,5.559560775756836,13.237704277038574,19.797224044799805,7.317122936248779,37.221561431884766,12.4969482421875,1.6840006113052368,3.1566162109375,1.272049069404602,4.848085403442383,3.3625004291534424,14.886666297912598,4.9303483963012695,9.427600860595703,4.675000190734863,6.289999961853027,0.45672500133514404,0.9589307904243469,16.57124137878418,0.41646602749824524,,,2.5575079917907715,23.17995834350586,1.3369230031967163,3.2583329677581787,16.15312385559082,57.0,7.848918437957764,0.1555050015449524,34.64297866821289,4.622988224029541,9.833471298217773,27.07680320739746,11.77391529083252,13.93036937713623,15.843228340148926,15.676060676574707,1.1420246362686157,6.180217742919922,11.51806640625,20.252153396606445,5.679999828338623,2.4161078929901123,2.121976137161255
2020-01-10,1.7801703214645386,1.7138433456420898,6.745888710021973,1.7766667604446411,18.971895217895508,5.520648956298828,13.237704277038574,19.66751480102539,7.309151649475098,38.15639114379883,12.4969482421875,1.7274025678634644,3.2912988662719727,1.306662678718567,5.006935119628906,3.3625004291534424,14.886666297912598,4.913509368896484,9.43549919128418,4.675000190734863,6.480000019073486,0.47020500898361206,0.9603727459907532,16.603574752807617,0.41646602749824524,,,2.631638526916504,22.917402267456055,1.3369230031967163,3.2666659355163574,16.02013397216797,57.0,7.957179069519043,0.15431199967861176,34.64297866821289,4.658077716827393,9.899027824401855,27.15078353881836,11.557660102844238,14.057363510131836,16.308246612548828,15.368464469909668,1.1420246362686157,6.300611972808838,11.536480903625488,20.903295516967773,5.960000038146973,2.4469356536865234,2.2472896575927734
2020-01-13,1.793736457824707,1.7308776378631592,6.808134078979492,1.7998005151748657,19.325851440429688,5.56928825378418,13.237704277038574,19.643190383911133,7.38088846206665,39.091224670410156,12.4969482421875,1.7621240615844727,3.274463415145874,1.3585830926895142,5.064120769500732,3.467805862426758,14.886666297912598,4.987598419189453,9.632894515991211,4.675000190734863,6.610000133514404,0.515500009059906,0.9733504056930542,16.813743591308594,0.41646602749824524,,,2.752100944519043,23.592548370361328,1.3369230031967163,3.4000000953674316,17.08405113220215,57.0,8.026777267456055,0.16286200284957886,34.64297866821289,4.7370285987854,10.086333274841309,27.280248641967773,11.597708702087402,14.487192153930664,16.414304733276367,15.334285736083984,1.1607463359832764,6.421006202697754,11.573307991027832,20.55267906188965,6.099999904632568,2.473909616470337,2.3141233921051025
2020-01-14,1.8449859619140625,1.7573755979537964,6.885941505432129,1.7951738834381104,19.378944396972656,5.661705493927002,13.237704277038574,19.716154098510742,7.572186470031738,39.60633850097656,12.4969482421875,1.7447632551193237,3.2912988662719727,1.3672364950180054,5.057766914367676,3.475069046020508,14.886666297912598,5.044849872589111,9.632894515991211,4.675000190734863,6.739999771118164,0.5570210218429565,0.9935388565063477,16.92691421508789,0.41646602749824524,,,2.8818297386169434,24.6240177154541,1.3369230031967163,3.450000047683716,16.971521377563477,57.0,8.01904296875,0.16345900297164917,34.64297866821289,4.754573822021484,10.26427173614502,27.058307647705078,11.76590633392334,14.477423667907715,16.707996368408203,15.448212623596191,1.1607463359832764,6.589557647705078,11.416789054870605,20.769723892211914,6.400000095367432,2.475836753845215,2.3141233921051025
2020-01-15,1.8615667819976807,1.8945966958999634,6.870380878448486,1.781293511390686,19.18427085876465,5.588744163513184,13.237704277038574,19.951257705688477,7.508421421051025,39.87343215942383,12.4969482421875,1.736082911491394,3.3586392402648926,1.4278101921081543,5.019643306732178,3.3915507793426514,14.886666297912598,5.112204551696777,9.585517883300781,4.675000190734863,6.75,0.5408440232276917,0.9920967817306519,16.89457893371582,0.41646602749824524,,,2.872563362121582,24.90532684326172,1.3369230031967163,3.375,16.858991622924805,57.0,8.119571685791016,0.16186800599098206,34.64297866821289,4.745800018310547,10.451576232910156,27.483694076538086,11.621736526489258,14.379734992980957,16.47956657409668,15.48238754272461,1.1607463359832764,6.477190017700195,11.370753288269043,20.719636917114258,6.289999961853027,2.4334487915039062,2.2890608310699463
